Rank,Name,Industry,Revenue (USD billions),Employees,Headquarters
1,Cargill,Food industry,154.0,155000,"Minnetonka, Minnesota"
2,Koch,Multicompany,125.0,120000,"Wichita, Kansas"
3,Publix Super Markets,Food Markets,59.7,260000,"Lakeland, Florida"
4,Mars,Food & Drink,55.0,150000,"McLean, Virginia"
5,H-E-B Grocery Company,Food Markets,49.57,175000,"San Antonio, Texas"
6,Reyes Holdings,"Food, Drink & Tobacco",44.0,36000,"Rosemont, Illinois"
7,Enterprise Mobility,Services,38.0,100000,"Clayton, Missouri"
8,Fidelity Investments,Insurance,32.7,78000,"Boston, Massachusetts"
9,Southern Glazer's Wine & Spirits,"Food, Drink & Tobacco",25.0,24000,"Miramar, Florida"
10,Cox Enterprises,Media,23.5,50000,"Atlanta, Georgia"
