Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,680985,5.1%,2100000,"Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,637959,11.0%,1556000,"Seattle, Washington"
3,UnitedHealth Group,Healthcare,400278,7.7%,400000,"Minnetonka, Minnesota"
4,Apple,Technology,391035,2.0%,164000,"Cupertino, California"
5,CVS Health,Healthcare,372809,4.2%,259500,"Woonsocket, Rhode Island"
6,Berkshire Hathaway,Conglomerate,371433,1.9%,392400,"Omaha, Nebraska"
7,Alphabet,Technology and cloud computing,350018,13.9%,183323,"Mountain View, California"
8,Exxon Mobil,Petroleum industry,349595,1.5%,60900,"Spring, Texas"
9,McKesson Corporation,Healthcare,308951,11.7%,48000,"Irving, Texas"
10,Cencora,Pharmacy wholesale,293959,12.1%,44000,"Conshohocken, Pennsylvania"
11,JPMorgan Chase,Financials,278906,16.5%,317233,"New York City, New York"
12,Costco Wholesale,Retail,254453,5.0%,333000,"Issaquah, Washington"
13,Cigna,Health insurance,247121,26.6%,72398,"Bloomfield, Connecticut"
14,Microsoft,Technology and cloud computing,245122,15.7%,228000,"Redmond, Washington"
15,Cardinal Health,Healthcare,226827,10.6%,48411,"Dublin, Ohio"
16,Chevron,Petroleum industry,202792,0.9%,45298,"Houston, Texas"
17,Bank of America,Financials,192434,11.9%,213193,"Charlotte, North Carolina"
18,General Motors,Automotive industry,187442,9.1%,162000,"Detroit, Michigan"
19,Ford Motor,Automotive industry,184992,5.0%,171000,"Dearborn, Michigan"
20,Elevance Health,Healthcare,177011,3.3%,103679,"Indianapolis, Indiana"
21,Citigroup,Financials,170757,8.9%,227855,"New York City, New York"
22,Meta Platforms,Technology,164501,21.9%,74067,"Menlo Park, California"
23,Centene,Healthcare,163071,5.9%,60500,"St. Louis, Missouri"
24,Home Depot,Retail,159514,4.5%,470100,"Atlanta, Georgia"
25,Fannie Mae,Financials,152670,8.1%,8200,"Washington, D.C."
26,Walgreens Boots Alliance,Pharmaceutical industry,147658,6.2%,252500,"Deerfield, Illinois"
27,Kroger,Retail,147123,-1.9%,409000,"Cincinnati, Ohio"
28,Phillips 66,Petroleum industry,145496,-2.9%,13200,"Houston, Texas"
29,Marathon Petroleum,Petroleum industry,140412,-6.6%,18300,"Findlay, Ohio"
30,Verizon Communications,Telecommunications,134788,0.6%,99600,"New York City, New York"
31,Nvidia,Technology,130497,114.2%,36000,"Santa Clara, California"
32,Goldman Sachs Group,Financials,126853,17.0%,46500,"New York City, New York"
